date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,bybit_price,bybit_open,bybit_high,bybit_low,krw_usd
2022-08-11,31770000.0,,,,23934.39,23954.05,24918.54,23852.13,23982.12,24343.77,24412.24,23594.79,23935.04,23952.14,24920.0,23857.13,1267.3
2022-08-12,32368000.0,31770000.0,32450000.0,31590000.0,24403.68,23933.09,24456.5,23583.0,24514.16,23982.12,24882.65,23956.47,24395.19,23935.04,24449.69,23589.76,1267.3
2022-08-13,32562000.0,32368000.0,32957000.0,32260000.0,24441.38,24401.7,24888.0,24291.22,24525.31,24514.16,25024.23,24324.67,24437.66,24395.19,24880.13,24299.94,1267.3
2022-08-14,32544000.0,32562000.0,33197000.0,32310000.0,24305.24,24443.06,25047.56,24144.0,24232.37,24525.31,25205.0,23882.66,24303.56,24437.66,25040.0,24150.0,1267.3
2022-08-15,32445000.0,32544000.0,33450000.0,32139000.0,24094.82,24305.25,25211.32,23773.22,23901.73,24232.37,24275.57,23677.75,24095.41,24303.56,25204.62,23772.42,1267.3
2022-08-16,32082000.0,32435000.0,32600000.0,31865000.0,23854.74,24093.04,24247.49,23671.22,23392.27,23901.73,24435.1,23330.57,23859.05,24095.41,24241.85,23678.49,1267.3
2022-08-17,31547000.0,32082000.0,32600000.0,31334000.0,23342.66,23856.15,24446.71,23180.4,23454.12,23392.27,23630.0,23186.66,23335.92,23859.05,24440.71,23187.51,1267.3
2022-08-18,31720000.0,31547000.0,31779000.0,31484000.0,23191.2,23342.66,23600.0,23111.04,21444.67,23454.12,23467.47,21267.99,23187.3,23335.92,23594.7,23097.68,1267.3
2022-08-19,28678000.0,31720000.0,31739000.0,28612000.0,20834.39,23191.45,23208.67,20783.57,21303.12,21444.67,21650.77,20797.16,20827.96,23187.3,23199.37,20785.07,1267.3
2022-08-20,29340000.0,28678000.0,29429000.0,28616000.0,21140.07,20834.39,21382.85,20761.9,21421.86,21303.12,21580.65,20770.6,21137.82,20827.96,21370.11,20768.12,1267.3
2022-08-21,29459000.0,29350000.0,29760000.0,29016000.0,21515.61,21140.07,21800.0,21069.11,21401.98,21421.86,21778.17,20901.54,21516.52,21137.82,21783.45,21068.22,1267.3
2022-08-22,29260000.0,29458000.0,29554000.0,28857000.0,21399.83,21516.7,21548.71,20890.18,21474.31,21401.98,21676.63,20901.68,21399.3,21516.52,21540.0,20899.33,1267.3
2022-08-23,29307000.0,29261000.0,29528000.0,28701000.0,21529.12,21400.75,21684.87,20890.14,21608.2,21474.31,21643.1,21159.23,21519.02,21399.3,21678.55,20895.01,1267.3
2022-08-24,29104000.0,29287000.0,29695000.0,28950000.0,21368.08,21529.11,21900.0,21145.0,21566.45,21608.2,21886.63,21314.81,21366.01,21519.02,21897.64,21154.25,1267.3
2022-08-25,29300000.0,29103000.0,29500000.0,29036000.0,21559.04,21368.05,21819.88,21310.15,20773.84,21566.45,21862.88,20660.88,21563.81,21366.01,21811.0,21312.51,1267.3
2022-08-26,27969000.0,29299000.0,29655000.0,27790000.0,20241.05,21559.04,21886.77,20107.9,19977.69,20773.84,20829.51,19809.42,20244.11,21563.81,21868.78,20115.0,1267.3
2022-08-27,27739000.0,27954000.0,28150000.0,27510000.0,20037.6,20239.14,20402.93,19800.0,20021.25,19977.69,20153.2,19816.81,20043.3,20244.11,20371.8,19799.0,1267.3
2022-08-28,27099000.0,27739000.0,27878000.0,27090000.0,19555.61,20037.6,20171.18,19520.0,20258.33,20021.25,20379.16,19525.57,19555.66,20043.3,20158.75,19526.89,1267.3
2022-08-29,27792000.0,27098000.0,28066000.0,27094000.0,20285.73,19555.61,20433.62,19550.79,19760.66,20258.33,20565.21,19667.44,20293.48,19555.66,20427.41,19553.08,1267.3
2022-08-30,27314000.0,27792000.0,28150000.0,27155000.0,19811.66,20287.2,20576.25,19540.0,20142.55,19760.66,20484.03,19550.0,19811.52,20293.48,20574.55,19541.52,1267.3
2022-08-31,27530000.0,27314000.0,27957000.0,27286000.0,20050.02,19813.03,20490.0,19797.94,19782.57,20142.55,20321.52,19659.88,20051.21,19811.52,20494.03,19801.94,1267.3
2022-09-01,27636000.0,27521000.0,27773000.0,27100000.0,20131.46,20048.44,20208.37,19565.66,20357.66,19782.57,20434.66,19572.19,20133.28,20051.21,20203.29,19568.0,1267.3
2022-09-02,27571000.0,27636000.0,28000000.0,27312000.0,19951.86,20132.64,20441.26,19755.29,19770.46,20357.66,20378.5,19736.44,19955.34,20133.28,20434.07,19760.0,1267.3
2022-09-03,27447000.0,27562000.0,27704000.0,27286000.0,19831.9,19950.98,20055.93,19652.72,19790.82,19770.46,19932.06,19590.0,19833.16,19955.34,20049.0,19657.01,1267.3
2022-09-04,27528000.0,27440000.0,27590000.0,27200000.0,20000.3,19832.45,20029.23,19583.1,19855.01,19790.82,20052.28,19639.3,20001.27,19833.16,20023.7,19591.01,1267.3
2022-09-05,27309000.0,27529000.0,27599000.0,27223000.0,19796.84,20000.3,20057.27,19633.83,19817.0,19855.01,20177.35,19666.67,19794.78,20001.27,20057.44,19640.66,1267.3
2022-09-06,26361000.0,27309000.0,27690000.0,26203000.0,18790.61,19795.34,20180.0,18649.51,18870.88,19817.0,19851.25,18540.02,18789.67,19794.78,20178.84,18650.96,1267.3
2022-09-07,26810000.0,26361000.0,27064000.0,26198000.0,19292.84,18790.61,19464.06,18510.77,19251.18,18870.88,19459.19,18855.52,19291.68,18789.67,19462.01,18525.51,1267.3
2022-09-08,26887000.0,26811000.0,27042000.0,26601000.0,19319.77,19292.85,19458.25,19012.0,21266.01,19251.18,21334.91,19095.74,19317.14,19291.68,19458.29,19015.1,1267.3
2022-09-09,29350000.0,26887000.0,29616000.0,26864000.0,21360.11,19320.54,21597.22,19291.75,21220.02,21266.01,21659.3,21128.83,21364.44,19317.14,21629.15,19291.51,1267.3
