variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
volatility_delta,price_change_1d,0,-0.013799091782294059,0.6531480025588225,-0.00936755107411816,0.7603174098345841,1063
volatility_delta,price_change_1d,1,0.006410087116889554,0.8347212841768025,0.017012870991465232,0.5797099734066884,1062
volatility_delta,price_change_1d,2,0.03905349636852271,0.2037020598503423,0.020171680762075386,0.5116026074680309,1061
volatility_delta,price_change_1d,3,-0.05371394828000782,0.08046436338805749,-0.03130046378763309,0.3086226700038346,1060
volatility_delta,price_change_1d,7,-0.0015732554110225762,0.9592743381982775,-0.01962205350595545,0.5241591115906696,1056
volatility_delta,price_change_7d,0,0.01201478490277746,0.696273345966726,0.018275187761351445,0.5526577172873047,1058
volatility_delta,price_change_7d,1,0.0161060381197123,0.6009419711765077,0.01610358760157205,0.6009973582263085,1057
volatility_delta,price_change_7d,2,0.023397721424600212,0.4475299434126096,0.02395225690163074,0.43683675506278674,1056
volatility_delta,price_change_7d,3,0.019914951187643387,0.5181821728459742,0.022307011225777017,0.46920088507129853,1055
volatility_delta,price_change_7d,7,-0.005539730045120465,0.8576386350304485,-0.004257810905110416,0.8903424567198995,1051
volatility_delta,volatility_change_1d,0,0.057672151970380406,0.06262170393597988,0.05042638810369587,0.1036036489029251,1043
volatility_delta,volatility_change_1d,1,-0.015746329364810796,0.6114831921371892,-0.0036800760537135276,0.9055068403693728,1043
volatility_delta,volatility_change_1d,2,0.026617343407641363,0.3904828487309667,0.00295507910441185,0.9240594207872582,1043
volatility_delta,volatility_change_1d,3,0.018763242111238983,0.5449829137803992,0.0482775521420873,0.11918888022287204,1043
volatility_delta,volatility_change_1d,7,0.019524740326215862,0.5287826696322324,0.03851912493301842,0.2138809572002941,1043
volatility_delta,price_direction_1d,0,-0.008228508203073534,0.7887235305297521,0.012115267264091194,0.69317351075511,1063
volatility_delta,price_direction_1d,1,0.030991264693348383,0.31297132693978075,0.027409253463298137,0.37221187608950246,1062
volatility_delta,price_direction_1d,2,0.019304992965365128,0.5299130596009519,-0.0028562295515426146,0.9259619750929281,1061
volatility_delta,price_direction_1d,3,-0.03432032290742444,0.26425127261167675,-0.014628543382248678,0.634263627161701,1060
volatility_delta,price_direction_1d,7,-0.021565942066920328,0.4838888530313155,-0.03782458603013887,0.21939543349217278,1056
oi_delta,price_change_1d,0,-0.033039522663588825,0.2818215092958929,-0.03847622056815505,0.2100403072072335,1063
oi_delta,price_change_1d,1,-0.05542788825135509,0.07098648978016084,-0.034765497582472174,0.257652153764622,1062
oi_delta,price_change_1d,2,-0.03534083255250406,0.2500783496479686,0.028614091990414127,0.35178184319133843,1061
oi_delta,price_change_1d,3,-0.0009094325823590481,0.9764067608705924,0.010051244320049137,0.7437685183724363,1060
oi_delta,price_change_1d,7,-0.033820391058281336,0.272184797652554,-0.06094637722402721,0.04770150539463991,1056
oi_delta,price_change_7d,0,-0.07836603722237774,0.010774942697903078,-0.05068209539199001,0.09942610776299857,1058
oi_delta,price_change_7d,1,-0.07828310005115628,0.010896508525350576,-0.04927130208130064,0.10938517263266828,1057
oi_delta,price_change_7d,2,-0.07294188492948808,0.017755307130571205,-0.04194286864196004,0.17320830150532546,1056
oi_delta,price_change_7d,3,-0.05292873842237275,0.08573601455285904,-0.05835653035261807,0.05811458731769351,1055
oi_delta,price_change_7d,7,-0.030080006464561423,0.32994351980048026,-0.04043648505828604,0.19023256288906898,1051
oi_delta,volatility_change_1d,0,-0.00260554330258169,0.933019388985422,-0.00472292945854208,0.8789129686382956,1043
oi_delta,volatility_change_1d,1,0.0023576218199383376,0.9393797934926599,-0.04689428888171483,0.13015482744449244,1043
oi_delta,volatility_change_1d,2,-0.04082787299674369,0.18766262432679331,0.02215895282688078,0.47469288008525046,1043
oi_delta,volatility_change_1d,3,0.03508314134383353,0.2576269517922812,0.0194490612249245,0.5303816587289358,1043
oi_delta,volatility_change_1d,7,-0.021490152628224624,0.4881317969583472,-0.038694044532887606,0.21180663804597924,1043
oi_delta,price_direction_1d,0,-0.014668822634408187,0.632849068512219,-0.02068273310875309,0.5005580908533958,1063
oi_delta,price_direction_1d,1,-0.045881333346209384,0.13511743762912312,-0.013584815101162577,0.658340405793176,1062
oi_delta,price_direction_1d,2,-0.004391315654506678,0.886392550483124,0.02665403903771382,0.3857598233452123,1061
oi_delta,price_direction_1d,3,0.007475887950837479,0.8079174782858146,0.03894572201616883,0.2051676457811243,1060
oi_delta,price_direction_1d,7,-0.021864618644213154,0.47785338270193517,-0.04104032883491929,0.18265168860613776,1056
