variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
exchange_inflow_usd,price_static,0,,,,,1063
exchange_inflow_usd,price_static,1,,,,,1062
exchange_inflow_usd,price_static,2,,,,,1061
exchange_inflow_usd,price_static,3,,,,,1060
exchange_inflow_usd,price_static,7,,,,,1056
exchange_inflow_usd,price_change_1d,0,,,,,1063
exchange_inflow_usd,price_change_1d,1,,,,,1062
exchange_inflow_usd,price_change_1d,2,,,,,1061
exchange_inflow_usd,price_change_1d,3,,,,,1060
exchange_inflow_usd,price_change_1d,7,,,,,1056
exchange_inflow_usd,price_change_7d,0,,,,,1058
exchange_inflow_usd,price_change_7d,1,,,,,1057
exchange_inflow_usd,price_change_7d,2,,,,,1056
exchange_inflow_usd,price_change_7d,3,,,,,1055
exchange_inflow_usd,price_change_7d,7,,,,,1051
exchange_inflow_usd,price_change_30d,0,,,,,1035
exchange_inflow_usd,price_change_30d,1,,,,,1034
exchange_inflow_usd,price_change_30d,2,,,,,1033
exchange_inflow_usd,price_change_30d,3,,,,,1032
exchange_inflow_usd,price_change_30d,7,,,,,1028
exchange_inflow_usd,volatility_7d,0,,,,,1056
exchange_inflow_usd,volatility_7d,1,,,,,1056
exchange_inflow_usd,volatility_7d,2,,,,,1056
exchange_inflow_usd,volatility_7d,3,,,,,1056
exchange_inflow_usd,volatility_7d,7,,,,,1056
exchange_inflow_usd,price_direction_1d,0,,,,,1063
exchange_inflow_usd,price_direction_1d,1,,,,,1062
exchange_inflow_usd,price_direction_1d,2,,,,,1061
exchange_inflow_usd,price_direction_1d,3,,,,,1060
exchange_inflow_usd,price_direction_1d,7,,,,,1056
exchange_inflow_usd,price_direction_7d,0,,,,,1063
exchange_inflow_usd,price_direction_7d,1,,,,,1062
exchange_inflow_usd,price_direction_7d,2,,,,,1061
exchange_inflow_usd,price_direction_7d,3,,,,,1060
exchange_inflow_usd,price_direction_7d,7,,,,,1056
exchange_outflow_usd,price_static,0,,,,,1063
exchange_outflow_usd,price_static,1,,,,,1062
exchange_outflow_usd,price_static,2,,,,,1061
exchange_outflow_usd,price_static,3,,,,,1060
exchange_outflow_usd,price_static,7,,,,,1056
exchange_outflow_usd,price_change_1d,0,,,,,1063
exchange_outflow_usd,price_change_1d,1,,,,,1062
exchange_outflow_usd,price_change_1d,2,,,,,1061
exchange_outflow_usd,price_change_1d,3,,,,,1060
exchange_outflow_usd,price_change_1d,7,,,,,1056
exchange_outflow_usd,price_change_7d,0,,,,,1058
exchange_outflow_usd,price_change_7d,1,,,,,1057
exchange_outflow_usd,price_change_7d,2,,,,,1056
exchange_outflow_usd,price_change_7d,3,,,,,1055
exchange_outflow_usd,price_change_7d,7,,,,,1051
exchange_outflow_usd,price_change_30d,0,,,,,1035
exchange_outflow_usd,price_change_30d,1,,,,,1034
exchange_outflow_usd,price_change_30d,2,,,,,1033
exchange_outflow_usd,price_change_30d,3,,,,,1032
exchange_outflow_usd,price_change_30d,7,,,,,1028
exchange_outflow_usd,volatility_7d,0,,,,,1056
exchange_outflow_usd,volatility_7d,1,,,,,1056
exchange_outflow_usd,volatility_7d,2,,,,,1056
exchange_outflow_usd,volatility_7d,3,,,,,1056
exchange_outflow_usd,volatility_7d,7,,,,,1056
exchange_outflow_usd,price_direction_1d,0,,,,,1063
exchange_outflow_usd,price_direction_1d,1,,,,,1062
exchange_outflow_usd,price_direction_1d,2,,,,,1061
exchange_outflow_usd,price_direction_1d,3,,,,,1060
exchange_outflow_usd,price_direction_1d,7,,,,,1056
exchange_outflow_usd,price_direction_7d,0,,,,,1063
exchange_outflow_usd,price_direction_7d,1,,,,,1062
exchange_outflow_usd,price_direction_7d,2,,,,,1061
exchange_outflow_usd,price_direction_7d,3,,,,,1060
exchange_outflow_usd,price_direction_7d,7,,,,,1056
net_flow_usd,price_static,0,,,,,1063
net_flow_usd,price_static,1,,,,,1062
net_flow_usd,price_static,2,,,,,1061
net_flow_usd,price_static,3,,,,,1060
net_flow_usd,price_static,7,,,,,1056
net_flow_usd,price_change_1d,0,,,,,1063
net_flow_usd,price_change_1d,1,,,,,1062
net_flow_usd,price_change_1d,2,,,,,1061
net_flow_usd,price_change_1d,3,,,,,1060
net_flow_usd,price_change_1d,7,,,,,1056
net_flow_usd,price_change_7d,0,,,,,1058
net_flow_usd,price_change_7d,1,,,,,1057
net_flow_usd,price_change_7d,2,,,,,1056
net_flow_usd,price_change_7d,3,,,,,1055
net_flow_usd,price_change_7d,7,,,,,1051
net_flow_usd,price_change_30d,0,,,,,1035
net_flow_usd,price_change_30d,1,,,,,1034
net_flow_usd,price_change_30d,2,,,,,1033
net_flow_usd,price_change_30d,3,,,,,1032
net_flow_usd,price_change_30d,7,,,,,1028
net_flow_usd,volatility_7d,0,,,,,1056
net_flow_usd,volatility_7d,1,,,,,1056
net_flow_usd,volatility_7d,2,,,,,1056
net_flow_usd,volatility_7d,3,,,,,1056
net_flow_usd,volatility_7d,7,,,,,1056
net_flow_usd,price_direction_1d,0,,,,,1063
net_flow_usd,price_direction_1d,1,,,,,1062
net_flow_usd,price_direction_1d,2,,,,,1061
net_flow_usd,price_direction_1d,3,,,,,1060
net_flow_usd,price_direction_1d,7,,,,,1056
net_flow_usd,price_direction_7d,0,,,,,1063
net_flow_usd,price_direction_7d,1,,,,,1062
net_flow_usd,price_direction_7d,2,,,,,1061
net_flow_usd,price_direction_7d,3,,,,,1060
net_flow_usd,price_direction_7d,7,,,,,1056
active_addresses,price_static,0,0.32939154365147194,2.5565884395725185e-28,0.7661272002712975,6.212847947135302e-206,1063
active_addresses,price_static,1,0.3306118670075734,1.671775839165133e-28,0.7658629555346971,1.6260115793810106e-205,1062
active_addresses,price_static,2,0.32959569891579704,2.648330515341943e-28,0.7653377534744417,7.083688791975781e-205,1061
active_addresses,price_static,3,0.32668964673879564,8.769315427030416e-28,0.7646238151719807,4.4382202191038975e-204,1060
active_addresses,price_static,7,0.32570562007010045,1.6125763557727276e-27,0.760297178614961,1.0488172049893372e-199,1056
