variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size,pearson_pvalue_fdr,is_significant_fdr,r_squared,coefficient,intercept
exchange_inflow_usd,price_static,0,,,,,274,,False,,,
exchange_inflow_usd,price_static,1,,,,,273,,False,,,
exchange_inflow_usd,price_static,3,,,,,271,,False,,,
exchange_inflow_usd,price_static,7,,,,,267,,False,,,
exchange_inflow_usd,price_static,14,,,,,260,,False,,,
exchange_inflow_usd,price_change_1d,0,,,,,274,,False,,,
exchange_inflow_usd,price_change_1d,1,,,,,273,,False,,,
exchange_inflow_usd,price_change_1d,3,,,,,271,,False,,,
exchange_inflow_usd,price_change_1d,7,,,,,267,,False,,,
exchange_inflow_usd,price_change_1d,14,,,,,260,,False,,,
exchange_inflow_usd,price_change_7d,0,,,,,274,,False,,,
exchange_inflow_usd,price_change_7d,1,,,,,273,,False,,,
exchange_inflow_usd,price_change_7d,3,,,,,271,,False,,,
exchange_inflow_usd,price_change_7d,7,,,,,267,,False,,,
exchange_inflow_usd,price_change_7d,14,,,,,260,,False,,,
exchange_inflow_usd,volatility_1d,0,,,,,274,,False,,,
exchange_inflow_usd,volatility_1d,1,,,,,273,,False,,,
exchange_inflow_usd,volatility_1d,3,,,,,271,,False,,,
exchange_inflow_usd,volatility_1d,7,,,,,267,,False,,,
exchange_inflow_usd,volatility_1d,14,,,,,260,,False,,,
exchange_inflow_usd,volatility_7d,0,,,,,274,,False,,,
exchange_inflow_usd,volatility_7d,1,,,,,273,,False,,,
exchange_inflow_usd,volatility_7d,3,,,,,271,,False,,,
exchange_inflow_usd,volatility_7d,7,,,,,267,,False,,,
exchange_inflow_usd,volatility_7d,14,,,,,260,,False,,,
exchange_inflow_usd,price_direction_1d,0,,,,,274,,False,,,
exchange_inflow_usd,price_direction_1d,1,,,,,273,,False,,,
exchange_inflow_usd,price_direction_1d,3,,,,,271,,False,,,
exchange_inflow_usd,price_direction_1d,7,,,,,267,,False,,,
exchange_inflow_usd,price_direction_1d,14,,,,,260,,False,,,
exchange_inflow_usd,price_direction_7d,0,,,,,274,,False,,,
exchange_inflow_usd,price_direction_7d,1,,,,,273,,False,,,
exchange_inflow_usd,price_direction_7d,3,,,,,271,,False,,,
exchange_inflow_usd,price_direction_7d,7,,,,,267,,False,,,
exchange_inflow_usd,price_direction_7d,14,,,,,260,,False,,,
exchange_inflow_usd,price_range,0,,,,,274,,False,,,
exchange_inflow_usd,price_range,1,,,,,273,,False,,,
exchange_inflow_usd,price_range,3,,,,,271,,False,,,
exchange_inflow_usd,price_range,7,,,,,267,,False,,,
exchange_inflow_usd,price_range,14,,,,,260,,False,,,
exchange_outflow_usd,price_static,0,,,,,274,,False,,,
exchange_outflow_usd,price_static,1,,,,,273,,False,,,
exchange_outflow_usd,price_static,3,,,,,271,,False,,,
exchange_outflow_usd,price_static,7,,,,,267,,False,,,
exchange_outflow_usd,price_static,14,,,,,260,,False,,,
exchange_outflow_usd,price_change_1d,0,,,,,274,,False,,,
exchange_outflow_usd,price_change_1d,1,,,,,273,,False,,,
exchange_outflow_usd,price_change_1d,3,,,,,271,,False,,,
exchange_outflow_usd,price_change_1d,7,,,,,267,,False,,,
exchange_outflow_usd,price_change_1d,14,,,,,260,,False,,,
exchange_outflow_usd,price_change_7d,0,,,,,274,,False,,,
exchange_outflow_usd,price_change_7d,1,,,,,273,,False,,,
exchange_outflow_usd,price_change_7d,3,,,,,271,,False,,,
exchange_outflow_usd,price_change_7d,7,,,,,267,,False,,,
exchange_outflow_usd,price_change_7d,14,,,,,260,,False,,,
exchange_outflow_usd,volatility_1d,0,,,,,274,,False,,,
exchange_outflow_usd,volatility_1d,1,,,,,273,,False,,,
exchange_outflow_usd,volatility_1d,3,,,,,271,,False,,,
exchange_outflow_usd,volatility_1d,7,,,,,267,,False,,,
exchange_outflow_usd,volatility_1d,14,,,,,260,,False,,,
exchange_outflow_usd,volatility_7d,0,,,,,274,,False,,,
exchange_outflow_usd,volatility_7d,1,,,,,273,,False,,,
exchange_outflow_usd,volatility_7d,3,,,,,271,,False,,,
exchange_outflow_usd,volatility_7d,7,,,,,267,,False,,,
exchange_outflow_usd,volatility_7d,14,,,,,260,,False,,,
exchange_outflow_usd,price_direction_1d,0,,,,,274,,False,,,
exchange_outflow_usd,price_direction_1d,1,,,,,273,,False,,,
exchange_outflow_usd,price_direction_1d,3,,,,,271,,False,,,
exchange_outflow_usd,price_direction_1d,7,,,,,267,,False,,,
exchange_outflow_usd,price_direction_1d,14,,,,,260,,False,,,
exchange_outflow_usd,price_direction_7d,0,,,,,274,,False,,,
exchange_outflow_usd,price_direction_7d,1,,,,,273,,False,,,
exchange_outflow_usd,price_direction_7d,3,,,,,271,,False,,,
exchange_outflow_usd,price_direction_7d,7,,,,,267,,False,,,
exchange_outflow_usd,price_direction_7d,14,,,,,260,,False,,,
exchange_outflow_usd,price_range,0,,,,,274,,False,,,
exchange_outflow_usd,price_range,1,,,,,273,,False,,,
exchange_outflow_usd,price_range,3,,,,,271,,False,,,
exchange_outflow_usd,price_range,7,,,,,267,,False,,,
exchange_outflow_usd,price_range,14,,,,,260,,False,,,
net_flow_usd,price_static,0,,,,,274,,False,,,
net_flow_usd,price_static,1,,,,,273,,False,,,
net_flow_usd,price_static,3,,,,,271,,False,,,
net_flow_usd,price_static,7,,,,,267,,False,,,
net_flow_usd,price_static,14,,,,,260,,False,,,
net_flow_usd,price_change_1d,0,,,,,274,,False,,,
net_flow_usd,price_change_1d,1,,,,,273,,False,,,
net_flow_usd,price_change_1d,3,,,,,271,,False,,,
net_flow_usd,price_change_1d,7,,,,,267,,False,,,
net_flow_usd,price_change_1d,14,,,,,260,,False,,,
net_flow_usd,price_change_7d,0,,,,,274,,False,,,
net_flow_usd,price_change_7d,1,,,,,273,,False,,,
net_flow_usd,price_change_7d,3,,,,,271,,False,,,
net_flow_usd,price_change_7d,7,,,,,267,,False,,,
net_flow_usd,price_change_7d,14,,,,,260,,False,,,
net_flow_usd,volatility_1d,0,,,,,274,,False,,,
net_flow_usd,volatility_1d,1,,,,,273,,False,,,
net_flow_usd,volatility_1d,3,,,,,271,,False,,,
net_flow_usd,volatility_1d,7,,,,,267,,False,,,
net_flow_usd,volatility_1d,14,,,,,260,,False,,,
net_flow_usd,volatility_7d,0,,,,,274,,False,,,
net_flow_usd,volatility_7d,1,,,,,273,,False,,,
net_flow_usd,volatility_7d,3,,,,,271,,False,,,
net_flow_usd,volatility_7d,7,,,,,267,,False,,,
net_flow_usd,volatility_7d,14,,,,,260,,False,,,
net_flow_usd,price_direction_1d,0,,,,,274,,False,,,
net_flow_usd,price_direction_1d,1,,,,,273,,False,,,
net_flow_usd,price_direction_1d,3,,,,,271,,False,,,
net_flow_usd,price_direction_1d,7,,,,,267,,False,,,
net_flow_usd,price_direction_1d,14,,,,,260,,False,,,
net_flow_usd,price_direction_7d,0,,,,,274,,False,,,
net_flow_usd,price_direction_7d,1,,,,,273,,False,,,
net_flow_usd,price_direction_7d,3,,,,,271,,False,,,
net_flow_usd,price_direction_7d,7,,,,,267,,False,,,
net_flow_usd,price_direction_7d,14,,,,,260,,False,,,
net_flow_usd,price_range,0,,,,,274,,False,,,
net_flow_usd,price_range,1,,,,,273,,False,,,
net_flow_usd,price_range,3,,,,,271,,False,,,
net_flow_usd,price_range,7,,,,,267,,False,,,
net_flow_usd,price_range,14,,,,,260,,False,,,
whale_to_whale_usd,price_static,0,0.02951665769061718,0.6266410710893369,0.030924634307710457,0.6102788150554571,274,0.6266410710893369,False,,,
whale_to_whale_usd,price_static,1,0.03192233723341243,0.599473844404267,0.04143501273007168,0.49538420619226564,273,0.599473844404267,False,,,
whale_to_whale_usd,price_static,3,0.013285631821150405,0.827656818462605,0.025818309059639208,0.672201186666401,271,0.827656818462605,False,,,
whale_to_whale_usd,price_static,7,-0.009678299131356788,0.8749245543508177,-0.03777340313261847,0.5388545849642996,267,0.8749245543508177,False,,,
whale_to_whale_usd,price_static,14,,,,,260,,False,,,
whale_to_whale_usd,price_change_1d,0,0.01183405244069434,0.8453931676614217,0.05303598523256202,0.38184386923538716,274,0.8453931676614217,False,,,
whale_to_whale_usd,price_change_1d,1,0.010615497975957617,0.8613963566689355,0.027787053444017426,0.647599801584482,273,0.8613963566689355,False,,,
whale_to_whale_usd,price_change_1d,3,-0.13560983220892162,0.025587026012560243,-0.13834025903506111,0.022738241305285598,271,0.025587026012560243,True,0.018390026591731723,-1.0462416224076987e-09,0.0003060838543677781
whale_to_whale_usd,price_change_1d,7,0.06692838675209431,0.2758408476911001,0.024594082102216717,0.6891228924147039,267,0.2758408476911001,False,,,
whale_to_whale_usd,price_change_1d,14,,,,,260,,False,,,
whale_to_whale_usd,price_change_7d,0,-0.06822084796408673,0.2604174456207812,-0.11382093365494632,0.05989340459249684,274,0.2604174456207812,False,,,
whale_to_whale_usd,price_change_7d,1,-0.08418042473846636,0.1654509496085946,-0.11775258026499122,0.05196410703090092,273,0.1654509496085946,False,,,
whale_to_whale_usd,price_change_7d,3,-0.007362993170212116,0.9039670576865906,-0.06432614620152075,0.29136113855083773,271,0.9039670576865906,False,,,
whale_to_whale_usd,price_change_7d,7,-0.0790230464410834,0.19802360428282512,-0.1262082513920311,0.039319096728638266,267,0.19802360428282512,False,,,
whale_to_whale_usd,price_change_7d,14,,,,,260,,False,,,
whale_to_whale_usd,volatility_1d,0,-0.02510464627304824,0.6790782415382468,-0.03519774140242991,0.5618185075821541,274,0.6790782415382468,False,,,
whale_to_whale_usd,volatility_1d,1,-0.02220801028317521,0.7148890109552063,-0.022332661289321664,0.7133588334001968,273,0.7148890109552063,False,,,
whale_to_whale_usd,volatility_1d,3,0.041627345225952475,0.494985506678169,0.0607348470679887,0.3191917952760866,271,0.494985506678169,False,,,
whale_to_whale_usd,volatility_1d,7,0.015071582397985662,0.8063556497511462,0.08442026328186232,0.16900036336786775,267,0.8063556497511462,False,,,
whale_to_whale_usd,volatility_1d,14,,,,,260,,False,,,
whale_to_whale_usd,volatility_7d,0,0.046965846130070314,0.4387555524013551,0.10030327588725278,0.09753862972203957,274,0.4387555524013551,False,,,
whale_to_whale_usd,volatility_7d,1,0.043532979599185354,0.47379244811401605,0.10299856927553232,0.08940830488091073,273,0.47379244811401605,False,,,
whale_to_whale_usd,volatility_7d,3,0.046339011229154334,0.44742286388009317,0.10910960572510098,0.07293685969402043,271,0.44742286388009317,False,,,
whale_to_whale_usd,volatility_7d,7,0.03826064440239566,0.5336270541994227,0.08794516176372827,0.15183735793264289,267,0.5336270541994227,False,,,
whale_to_whale_usd,volatility_7d,14,,,,,260,,False,,,
whale_to_whale_usd,price_direction_1d,0,0.06017536378207016,0.32099004565553607,0.08512508198315509,0.15996751786659222,274,0.32099004565553607,False,,,
whale_to_whale_usd,price_direction_1d,1,0.06050550144623181,0.31923037640498253,0.08559267272805333,0.15844422321451376,273,0.31923037640498253,False,,,
