date,symbol,avg_funding_rate,sum_open_interest,long_short_ratio,volatility_24h,target_volatility_24h
2022-01-01,BTCUSDT,0.0001,72913.725,,0.0,
2022-01-01,ETHUSDT,0.0001,470048.454,,0.0,
2022-01-02,BTCUSDT,4.284333333333333e-05,73310.482,,0.0,
2022-01-02,ETHUSDT,4.284333333333333e-05,468997.343,,0.0,
2022-01-03,BTCUSDT,6.483666666666667e-05,79515.424,,0.0,
2022-01-03,ETHUSDT,6.483666666666667e-05,475569.797,,0.0,
2022-01-04,BTCUSDT,0.0001,81107.217,,0.0,
2022-01-04,ETHUSDT,0.0001,474780.66,,0.0,
2022-01-05,BTCUSDT,0.0001,77699.867,,0.0,
2022-01-05,ETHUSDT,0.0001,477274.257,,0.0,
2022-01-06,BTCUSDT,6.569333333333333e-05,79277.665,,0.0,
2022-01-06,ETHUSDT,6.569333333333333e-05,481235.957,,0.0,
2022-01-07,BTCUSDT,7.311666666666666e-05,76575.716,,0.0,
2022-01-07,ETHUSDT,7.311666666666666e-05,480092.286,,0.0,
2022-01-08,ETHUSDT,0.0001,478486.871,,0.0,
2022-01-08,BTCUSDT,0.0001,76418.58,,0.0,
2022-01-09,ETHUSDT,2.7453333333333334e-05,474298.826,,0.0,
2022-01-09,BTCUSDT,2.7453333333333334e-05,76137.758,,0.0,
2022-01-10,ETHUSDT,-6.451666666666667e-05,471344.879,,0.0,
2022-01-10,BTCUSDT,-6.451666666666667e-05,76522.224,,0.0,
2022-01-11,ETHUSDT,6.305333333333334e-05,465334.322,,0.0,
2022-01-11,BTCUSDT,6.305333333333334e-05,77430.991,,0.0,
2022-01-12,BTCUSDT,-6.218e-05,77453.466,,0.0,
2022-01-12,ETHUSDT,-6.218e-05,455282.37,,0.0,
2022-01-13,BTCUSDT,2.0803333333333335e-05,76811.192,,0.0,
2022-01-13,ETHUSDT,2.0803333333333335e-05,447373.849,,0.0,
2022-01-14,BTCUSDT,6.235333333333334e-05,74462.503,,0.0,
2022-01-14,ETHUSDT,6.235333333333334e-05,443571.317,,0.0,
2022-01-15,BTCUSDT,9.877333333333333e-05,75368.625,,0.0,
2022-01-15,ETHUSDT,9.877333333333333e-05,459828.272,,0.0,
2022-01-16,ETHUSDT,6.864666666666666e-05,450180.911,,0.0,
2022-01-16,BTCUSDT,6.864666666666666e-05,73751.021,,0.0,
2022-01-17,BTCUSDT,3.296666666666667e-06,75697.266,,0.0,
2022-01-17,ETHUSDT,3.296666666666667e-06,460106.775,,0.0,
2022-01-18,ETHUSDT,7.058333333333333e-05,467474.85,,0.0,
2022-01-18,BTCUSDT,7.058333333333333e-05,74768.666,,0.0,
2022-01-19,BTCUSDT,6.0933333333333335e-05,75352.829,,0.0,
2022-01-19,ETHUSDT,6.0933333333333335e-05,463892.394,,0.0,
2022-01-20,ETHUSDT,0.0001,457802.78,,0.0,
2022-01-20,BTCUSDT,0.0001,76573.868,,0.0,
2022-01-21,BTCUSDT,5.756666666666668e-06,71680.05,,0.0,
2022-01-21,ETHUSDT,5.756666666666668e-06,457428.97,,0.0,
2022-01-22,BTCUSDT,8.824000000000001e-05,73031.414,,0.0,
2022-01-22,ETHUSDT,8.824000000000001e-05,466041.942,,0.0,
2022-01-23,BTCUSDT,-2.842666666666667e-05,74053.996,,0.0,
2022-01-23,ETHUSDT,-2.842666666666667e-05,483134.625,,0.0,
2022-01-24,ETHUSDT,2.7416666666666668e-05,475409.773,,0.0,
2022-01-24,BTCUSDT,2.7416666666666668e-05,73092.802,,0.0,
2022-01-25,ETHUSDT,-1.1800000000000033e-06,467088.857,,0.0,
2022-01-25,BTCUSDT,-1.1800000000000033e-06,76064.175,,0.0,
2022-01-26,ETHUSDT,-0.00010686,470362.03,,0.0,
2022-01-26,BTCUSDT,-0.00010686,73878.462,,0.0,
2022-01-27,BTCUSDT,-6.724333333333334e-05,72218.034,,0.0,
