symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2022-08-11,23934.39,249759.79557,6097813762.895935,23954.05,24918.54,23852.13
ETHUSDT,2022-08-11,1880.19,1105261.9009,2093718964.800632,1853.58,1942.0,1850.32
ETHUSDT,2022-08-12,1958.28,717628.1015,1363895150.810113,1880.19,1964.71,1853.06
BTCUSDT,2022-08-12,24403.68,174207.5704,4175834601.8605466,23933.09,24456.5,23583.0
BTCUSDT,2022-08-13,24441.38,152852.25435,3751417148.252107,24401.7,24888.0,24291.22
ETHUSDT,2022-08-13,1983.55,695876.0293,1382235354.292491,1958.28,2020.0,1946.5
BTCUSDT,2022-08-14,24305.24,151206.14473,3708565144.8980093,24443.06,25047.56,24144.0
ETHUSDT,2022-08-14,1935.31,569583.4852,1122186881.223951,1983.55,2030.0,1906.0
BTCUSDT,2022-08-15,24094.82,242539.54758,5894066098.523285,24305.25,25211.32,23773.22
ETHUSDT,2022-08-15,1899.06,949162.3305,1824203091.995667,1935.32,2012.47,1872.31
ETHUSDT,2022-08-16,1876.67,622729.1499,1173013843.338048,1899.05,1915.0,1853.0
BTCUSDT,2022-08-16,23854.74,179324.94821,4294907691.6509495,24093.04,24247.49,23671.22
ETHUSDT,2022-08-17,1834.25,951824.8975,1781033503.423426,1876.67,1959.43,1818.74
BTCUSDT,2022-08-17,23342.66,210668.68766,4993659434.236888,23856.15,24446.71,23180.4
ETHUSDT,2022-08-18,1846.39,606254.024,1126844899.607746,1834.24,1882.37,1821.25
BTCUSDT,2022-08-18,23191.2,144185.97011,3375338942.2617874,23342.66,23600.0,23111.04
ETHUSDT,2022-08-19,1609.01,1419826.9515,2447147973.005891,1846.39,1848.0,1602.37
BTCUSDT,2022-08-19,20834.39,283995.87747,6181759252.730264,23191.45,23208.67,20783.57
ETHUSDT,2022-08-20,1576.04,914615.9226,1468671141.090122,1609.0,1657.08,1523.67
BTCUSDT,2022-08-20,21140.07,183041.68363,3871242921.2246804,20834.39,21382.85,20761.9
ETHUSDT,2022-08-21,1618.13,780662.6062,1255041865.224435,1576.03,1646.52,1562.34
BTCUSDT,2022-08-21,21515.61,159200.6841,3405034922.807078,21140.07,21800.0,21069.11
BTCUSDT,2022-08-22,21399.83,222222.04526,4721412016.903412,21516.7,21548.71,20890.18
ETHUSDT,2022-08-22,1624.66,941192.8954,1483442567.236265,1618.13,1629.72,1529.92
BTCUSDT,2022-08-23,21529.12,200967.77164,4299812533.944709,21400.75,21684.87,20890.14
ETHUSDT,2022-08-23,1665.41,940246.932,1528222432.851831,1624.65,1676.07,1563.76
BTCUSDT,2022-08-24,21368.08,174383.22046,3744196823.564854,21529.11,21900.0,21145.0
ETHUSDT,2022-08-24,1656.56,744667.6078,1228169659.887394,1665.4,1694.13,1604.92
ETHUSDT,2022-08-25,1695.11,603090.713,1023691864.190439,1656.56,1722.0,1653.68
