symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
BTCUSDT,2022-08-14,23174.39,25047.56,22664.69,24305.24,1251083.26468,30077619286.84657,,,,,,,2382.8700000000026,10.513578610605318,,,
ETHUSDT,2022-08-14,1700.2,2030.0,1656.78,1935.31,6005908.6758,11095588128.982937,,,,,,,373.22,22.526829150520893,,,
ETHUSDT,2022-08-21,1935.32,2012.47,1523.67,1618.13,6245075.8822,11075956317.685335,,,,,,,488.79999999999995,32.08043736504623,,,
BTCUSDT,2022-08-21,24305.25,25211.32,20761.9,21515.61,1402957.39876,32016009263.434933,,,,,,,4449.419999999998,21.430697575848058,,,
ETHUSDT,2022-08-28,1618.13,1722.0,1424.0,1426.76,5680094.1028,9057599624.377893,,,,,,,298.0,20.926966292134832,,,
BTCUSDT,2022-08-28,21516.7,21900.0,19520.0,19555.61,1343190.86,28273617081.520325,,,,,,,2380.0,12.192622950819672,,,
ETHUSDT,2022-09-04,1426.76,1650.0,1422.08,1579.28,5044263.2551,7847814922.906389,,,,,,,227.92000000000007,16.027227722772285,,,
BTCUSDT,2022-09-04,19555.61,20576.25,19540.0,20000.3,1527594.84529,30597230623.489513,,,,,,,1036.25,5.303224155578301,,,
ETHUSDT,2022-09-11,1579.29,1789.0,1490.66,1766.11,4668123.4131,7684888287.815278,,,,,,,298.3399999999999,20.013953550776158,,,
BTCUSDT,2022-09-11,20000.3,21860.0,18510.77,21826.87,2146685.76233,43460053550.45977,,,,,,,3349.2299999999996,18.09341264571922,,,
ETHUSDT,2022-09-18,1766.12,1783.0,1325.55,1334.51,5784488.7576,9016547779.985247,,,,,,,457.45000000000005,34.510203311832825,,,
BTCUSDT,2022-09-18,21826.87,22799.0,19320.01,19416.18,2218565.59694,45784151832.43754,,,,,,,3478.9900000000016,18.00718529648795,,,
ETHUSDT,2022-09-25,1334.51,1408.9,1220.0,1294.63,5736574.9099,7565908739.828645,,,,,,,188.9000000000001,15.483606557377055,,,
