symbol,date,open,high,low,close,volume,quote_volume
ETHUSDT,2022-08-09,1684.71,1853.07,1657.39,1837.38,37719.9921,64670885.666674
BTCUSDT,2022-08-09,23077.16,24172.41,22669.12,23997.51,7333.2999,170262876.769189
ETHUSDT,2022-08-10,1837.38,1940.01,1804.95,1890.35,51181.4955,95853387.342694
BTCUSDT,2022-08-10,23997.51,24906.91,23495.28,24343.77,7829.3037,190012246.768539
BTCUSDT,2022-08-11,24343.77,24412.24,23594.79,23982.12,7732.466,185608211.037667
ETHUSDT,2022-08-11,1890.35,1913.57,1853.57,1897.81,49145.1331,92816481.034792
BTCUSDT,2022-08-12,23982.12,24882.65,23956.47,24514.16,7739.5416,188925660.505392
ETHUSDT,2022-08-12,1897.81,2019.39,1891.04,1988.48,47781.7406,93725067.597922
BTCUSDT,2022-08-13,24514.16,25024.23,24324.67,24525.31,5963.1817,146421692.695434
ETHUSDT,2022-08-13,1988.48,2029.99,1968.57,1984.13,39712.0234,78984988.426824
BTCUSDT,2022-08-14,24525.31,25205.0,23882.66,24232.37,6855.6845,166606623.743372
ETHUSDT,2022-08-14,1984.13,2012.29,1873.63,1917.95,46276.5665,89372775.395921
BTCUSDT,2022-08-15,24232.37,24275.57,23677.75,23901.73,7413.3808,178203054.393205
ETHUSDT,2022-08-15,1917.95,1932.36,1857.38,1887.44,45860.2631,86863092.007947
BTCUSDT,2022-08-16,23901.73,24435.1,23330.57,23392.27,7119.8119,169948268.256806
ETHUSDT,2022-08-16,1887.44,1956.59,1819.33,1831.25,47530.2583,89412642.902314
ETHUSDT,2022-08-17,1831.25,1881.34,1821.67,1872.88,40526.7668,74856240.905082
BTCUSDT,2022-08-17,23392.27,23630.0,23186.66,23454.12,6770.0514,158528304.913699
ETHUSDT,2022-08-18,1872.88,1879.48,1676.38,1698.01,49553.2674,88185434.34501
BTCUSDT,2022-08-18,23454.12,23467.47,21267.99,21444.67,7178.5854,160131432.683995
ETHUSDT,2022-08-19,1698.01,1725.71,1603.61,1635.54,64559.999,106484688.04138
BTCUSDT,2022-08-19,21444.67,21650.77,20797.16,21303.12,9846.7089,208990184.748599
ETHUSDT,2022-08-20,1635.54,1640.39,1524.39,1621.07,57173.5833,91364521.209365
BTCUSDT,2022-08-20,21303.12,21580.65,20770.6,21421.86,8621.7579,183307671.737347
ETHUSDT,2022-08-21,1621.07,1645.66,1530.67,1590.54,57399.114,91589504.221237
BTCUSDT,2022-08-21,21421.86,21778.17,20901.54,21401.98,9065.7512,193720498.155393
ETHUSDT,2022-08-22,1590.54,1653.49,1549.58,1640.58,66587.9457,106632632.570502
BTCUSDT,2022-08-22,21401.98,21676.63,20901.68,21474.31,10460.5769,222536238.870208
ETHUSDT,2022-08-23,1640.58,1687.22,1606.04,1683.24,54980.2014,90234987.025341
BTCUSDT,2022-08-23,21474.31,21643.1,21159.23,21608.2,9640.7268,206480335.843213
BTCUSDT,2022-08-24,21608.2,21886.63,21314.81,21566.45,8413.5783,181967646.222404
ETHUSDT,2022-08-24,1683.24,1721.78,1652.78,1701.3,49711.5627,83799324.156103
ETHUSDT,2022-08-25,1701.3,1712.85,1586.65,1592.79,47029.6349,78701657.993678
BTCUSDT,2022-08-25,21566.45,21862.88,20660.88,20773.84,7100.2261,152342836.219986
ETHUSDT,2022-08-26,1592.79,1599.29,1455.94,1470.0,55893.8165,85055242.75282
BTCUSDT,2022-08-26,20773.84,20829.51,19809.42,19977.69,9899.1247,201371030.581582
ETHUSDT,2022-08-27,1470.0,1510.47,1448.01,1486.74,40370.3403,59887367.031574
BTCUSDT,2022-08-27,19977.69,20153.2,19816.81,20021.25,7152.9909,143038794.617422
BTCUSDT,2022-08-28,20021.25,20379.16,19525.57,20258.33,6764.1822,134529677.466392
ETHUSDT,2022-08-28,1486.74,1529.66,1422.65,1521.25,39363.2071,57791535.192246
ETHUSDT,2022-08-29,1521.25,1605.78,1510.01,1526.37,38595.0447,60019084.069084
BTCUSDT,2022-08-29,20258.33,20565.21,19667.44,19760.66,7417.9819,150302626.937101
ETHUSDT,2022-08-30,1526.37,1619.13,1474.62,1560.75,39998.0768,62622974.343735
BTCUSDT,2022-08-30,19760.66,20484.03,19550.0,20142.55,7631.5337,153527489.529993
BTCUSDT,2022-08-31,20142.55,20321.52,19659.88,19782.57,6990.4258,140089443.273656
ETHUSDT,2022-08-31,1560.75,1588.46,1513.65,1535.5,36568.3279,56934978.27981
BTCUSDT,2022-09-01,19782.57,20434.66,19572.19,20357.66,6837.9487,137181743.081971
ETHUSDT,2022-09-01,1535.5,1648.21,1524.54,1636.32,36542.2934,58018669.468804
BTCUSDT,2022-09-02,20357.66,20378.5,19736.44,19770.46,6264.595,124705318.584707
ETHUSDT,2022-09-02,1636.32,1638.9,1534.78,1548.36,35942.3863,56291221.718247
