symbol,date,open,high,low,close,volume,quote_volume
ETHUSDT,2022-08-11,1854.64,1942.28,1850.45,1880.22,24532.50799,46432839.6275845
BTCUSDT,2022-08-11,23952.14,24920.0,23857.13,23935.04,3553.309597,86821433.13395216
ETHUSDT,2022-08-12,1880.22,1964.78,1853.23,1958.2,15267.29034,29009490.2608462
BTCUSDT,2022-08-12,23935.04,24449.69,23589.76,24395.19,1689.441486,40489908.20050583
BTCUSDT,2022-08-13,24395.19,24880.13,24299.94,24437.66,1464.78086,35961849.37020538
ETHUSDT,2022-08-13,1958.2,2020.23,1946.86,1983.7,17273.52174,34299534.1506044
ETHUSDT,2022-08-14,1983.7,2029.98,1905.85,1935.65,17626.98501,34702488.0634289
BTCUSDT,2022-08-14,24437.66,25040.0,24150.0,24303.56,1550.748524,38014597.07320905
ETHUSDT,2022-08-15,1935.65,2012.89,1872.58,1899.25,25494.5075,48937728.5604637
BTCUSDT,2022-08-15,24303.56,25204.62,23772.42,24095.41,2639.302276,64160429.24457477
BTCUSDT,2022-08-16,24095.41,24241.85,23678.49,23859.05,1700.267786,40724297.10815924
ETHUSDT,2022-08-16,1899.25,1915.32,1852.05,1876.78,24578.36941,46292694.7491153
BTCUSDT,2022-08-17,23859.05,24440.71,23187.51,23335.92,2494.748623,59116549.06695606
ETHUSDT,2022-08-17,1876.78,1957.41,1819.13,1834.14,31479.12676,59062234.6899614
BTCUSDT,2022-08-18,23335.92,23594.7,23097.68,23187.3,1689.865001,39488996.89275478
ETHUSDT,2022-08-18,1834.14,1881.74,1821.26,1846.45,19071.80275,35410766.1777202
ETHUSDT,2022-08-19,1846.45,1847.93,1603.12,1608.72,55727.81937,95968624.4773
BTCUSDT,2022-08-19,23187.3,23199.37,20785.07,20827.96,5178.872814,112271641.39531614
BTCUSDT,2022-08-20,20827.96,21370.11,20768.12,21137.82,2911.976528,61565607.9900923
ETHUSDT,2022-08-20,1608.72,1656.7,1523.62,1575.82,41175.67445,66117780.5911255
BTCUSDT,2022-08-21,21137.82,21783.45,21068.22,21516.52,1931.580462,41348581.56993781
ETHUSDT,2022-08-21,1575.82,1647.03,1562.51,1618.1,26181.95079,42054777.5367445
BTCUSDT,2022-08-22,21516.52,21540.0,20899.33,21399.3,2556.736212,54257577.07631783
ETHUSDT,2022-08-22,1618.1,1628.88,1530.65,1624.72,34293.28619,54044134.309208
ETHUSDT,2022-08-23,1624.72,1675.76,1563.91,1665.4,29128.46993,47383140.7882011
BTCUSDT,2022-08-23,21399.3,21678.55,20895.01,21519.02,2314.974876,49566364.91159027
ETHUSDT,2022-08-24,1665.4,1694.09,1605.58,1656.18,22119.68571,36515002.4515274
BTCUSDT,2022-08-24,21519.02,21897.64,21154.25,21366.01,1822.516966,39155784.7142699
ETHUSDT,2022-08-25,1656.18,1722.32,1654.51,1695.17,15420.88741,26175332.4460711
BTCUSDT,2022-08-25,21366.01,21811.0,21312.51,21563.81,1602.992599,34625794.37526525
ETHUSDT,2022-08-26,1695.17,1706.0,1488.0,1508.03,43498.5183,70114751.5701884
BTCUSDT,2022-08-26,21563.81,21868.78,20115.0,20244.11,4770.011922,100582698.91854416
ETHUSDT,2022-08-27,1508.03,1518.34,1447.51,1491.06,29203.34765,43460903.8551238
BTCUSDT,2022-08-27,20244.11,20371.8,19799.0,20043.3,2887.359237,58011366.07790807
BTCUSDT,2022-08-28,20043.3,20158.75,19526.89,19555.66,1754.10149,34983449.66917417
ETHUSDT,2022-08-28,1491.06,1510.87,1424.4,1426.93,21983.81013,32513100.8467133
ETHUSDT,2022-08-29,1426.93,1560.0,1422.14,1552.09,34780.91304,51841006.0578778
BTCUSDT,2022-08-29,19555.66,20427.41,19553.08,20293.48,2705.206325,54142095.40426399
BTCUSDT,2022-08-30,20293.48,20574.55,19541.52,19811.52,2888.176734,57900334.98029962
ETHUSDT,2022-08-30,1552.09,1605.68,1473.61,1524.46,42274.16741,65322850.9645507
BTCUSDT,2022-08-31,19811.52,20494.03,19801.94,20051.21,2059.097645,41575064.42466039
ETHUSDT,2022-08-31,1524.46,1620.0,1524.38,1554.7,34392.11381,54229256.6437397
BTCUSDT,2022-09-01,20051.21,20203.29,19568.0,20133.28,2278.576658,45415454.0025662
ETHUSDT,2022-09-01,1554.7,1599.94,1513.42,1585.37,28744.88661,44684914.4730478
BTCUSDT,2022-09-02,20133.28,20434.07,19760.0,19955.34,2980.69022,59895374.78721071
ETHUSDT,2022-09-02,1585.37,1649.0,1546.62,1575.05,35842.59592,57347445.4619932
BTCUSDT,2022-09-03,19955.34,20049.0,19657.01,19833.16,934.81972,18543801.9773885
ETHUSDT,2022-09-03,1575.05,1582.71,1534.27,1557.6,16144.8997,25118539.6440341
ETHUSDT,2022-09-04,1557.6,1583.78,1540.24,1579.44,13678.10641,21358574.1539428
BTCUSDT,2022-09-04,19833.16,20023.7,19591.01,20001.27,1272.552372,25207644.71975551
BTCUSDT,2022-09-05,20001.27,20057.44,19640.66,19794.78,1486.096903,29416182.79027478
ETHUSDT,2022-09-05,1579.44,1632.02,1557.2,1616.56,18497.92286,29311156.703045
ETHUSDT,2022-09-06,1616.56,1687.21,1553.95,1559.42,124355.47873,202673902.6531498
BTCUSDT,2022-09-06,19794.78,20178.84,18650.96,18789.67,9917.199961,192531007.41100517
BTCUSDT,2022-09-07,18789.67,19462.01,18525.51,19291.68,10226.076906,193625846.93475
ETHUSDT,2022-09-07,1559.42,1657.34,1490.24,1629.53,170768.52006,265850068.5130802
BTCUSDT,2022-09-08,19291.68,19458.29,19015.1,19317.14,9319.062746,179304607.87035912
ETHUSDT,2022-09-08,1629.53,1664.63,1595.26,1635.4,197047.08229,321004675.2246169
BTCUSDT,2022-09-09,19317.14,21629.15,19291.51,21364.44,15658.380313,325578723.1344287
ETHUSDT,2022-09-09,1635.4,1746.6,1630.51,1718.35,202198.77292,343778294.0006841
BTCUSDT,2022-09-10,21364.44,21806.64,21116.39,21645.83,10141.894331,217193006.717648
ETHUSDT,2022-09-10,1718.35,1789.19,1706.35,1774.01,169663.74177,294042351.7143533
BTCUSDT,2022-09-11,21645.83,21865.56,21344.7,21823.17,10159.162556,219451317.13982394
ETHUSDT,2022-09-11,1774.01,1789.73,1719.99,1766.12,177404.02113,312718658.2418292
BTCUSDT,2022-09-12,21823.17,22484.14,21545.45,22394.49,12758.906423,281796084.2529051
ETHUSDT,2022-09-12,1766.12,1783.1,1693.26,1716.23,258134.03809,447469576.2088069
ETHUSDT,2022-09-13,1716.23,1760.35,1561.21,1574.18,332109.74931,549652735.7814598
BTCUSDT,2022-09-13,22394.49,22800.35,19872.68,20172.78,17393.000722,372727434.74764115
BTCUSDT,2022-09-14,20172.78,20533.32,19623.37,20224.55,10286.717736,207383497.05552006
ETHUSDT,2022-09-14,1574.18,1646.95,1551.88,1638.37,283611.57716,453786748.2417677
ETHUSDT,2022-09-15,1638.37,1654.92,1457.57,1472.75,382397.35537,595975810.2795835
BTCUSDT,2022-09-15,20224.55,20328.84,19500.0,19700.98,15309.748898,305701271.98538166
ETHUSDT,2022-09-16,1472.75,1483.13,1405.39,1434.07,422767.44967,613144083.9196701
BTCUSDT,2022-09-16,19700.98,19890.0,19335.0,19807.09,10869.969724,213664329.16433847
ETHUSDT,2022-09-17,1434.07,1476.36,1409.16,1468.92,258055.61468,372680918.605126
