feature,importance
volatility_slope,0.07285754
volatility_delta_stability,0.06834143
oi_delta,0.056826442
avg_funding_rate,0.05339777
taker_buy_sell_ratio,0.05279379
oi_slope,0.052788004
sum_open_interest,0.050768275
funding_slope,0.048372895
whale_conc_change_7d,0.04834388
volatility_accel,0.047357637
funding_accel,0.04581072
funding_taker_momentum,0.044133954
vol_oi_accel_product,0.04372377
volatility_ratio,0.04340303
funding_delta,0.04088896
funding_rate_zscore,0.04013724
oi_growth_7d,0.039026354
taker_ratio_delta,0.038392156
volatility_delta,0.037796795
oi_delta_stability,0.037791047
oi_accel,0.037048284
ext_ls_momentum,0.0
long_short_momentum,0.0
net_flow_delta,0.0
long_position_pct,0.0
long_account_pct,0.0
short_account_pct,0.0
