date,capital
2024-02-29,100000000.0
2024-03-01,100000000.0
2024-03-02,100000000.0
2024-03-03,100000000.0
2024-03-04,100000000.0
2024-03-05,100000000.0
2024-03-06,100000000.0
2024-03-07,100000000.0
2024-03-08,100000000.0
2024-03-09,100000000.0
2024-03-10,100000000.0
2024-03-11,100000000.0
2024-03-12,100000000.0
2024-03-13,100000000.0
2024-03-14,100000000.0
2024-03-15,100000000.0
2024-03-16,100000000.0
2024-03-17,100000000.0
2024-03-18,100000000.0
2024-03-19,100000000.0
2024-03-20,100000000.0
2024-03-21,100000000.0
2024-03-22,100000000.0
2024-03-23,100000000.0
2024-03-24,99514400.22873034
2024-03-25,99514400.22873034
2024-03-26,99514400.22873034
2024-03-27,99514400.22873034
2024-03-28,99514400.22873034
2024-03-29,99514400.22873034
2024-03-30,99514400.22873034
2024-03-31,99514400.22873034
2024-04-01,99514400.22873034
2024-04-02,103091429.55833992
2024-04-03,103091429.55833992
2024-04-04,103091429.55833992
2024-04-05,103091429.55833992
2024-04-06,103091429.55833992
2024-04-07,103091429.55833992
2024-04-08,103091429.55833992
2024-04-09,103091429.55833992
2024-04-10,103091429.55833992
2024-04-11,103091429.55833992
2024-04-12,103091429.55833992
2024-04-13,103091429.55833992
2024-04-14,103091429.55833992
2024-04-15,103091429.55833992
2024-04-16,103091429.55833992
2024-04-17,103091429.55833992
2024-04-18,103091429.55833992
2024-04-19,103091429.55833992
2024-04-20,103091429.55833992
2024-04-21,103091429.55833992
2024-04-22,103091429.55833992
2024-04-23,103091429.55833992
2024-04-24,103091429.55833992
2024-04-25,103091429.55833992
2024-04-26,103091429.55833992
2024-04-27,103091429.55833992
2024-04-28,103091429.55833992
2024-04-29,103091429.55833992
2024-04-30,103091429.55833992
2024-05-01,103091429.55833992
2024-05-02,103091429.55833992
2024-05-03,103091429.55833992
2024-05-04,107050111.58170855
2024-05-05,107050111.58170855
2024-05-06,107050111.58170855
2024-05-07,107050111.58170855
2024-05-08,107050111.58170855
2024-05-09,107050111.58170855
2024-05-10,107050111.58170855
2024-05-11,107050111.58170855
2024-05-12,107050111.58170855
2024-05-13,107050111.58170855
2024-05-14,107050111.58170855
2024-05-15,107050111.58170855
2024-05-16,107050111.58170855
2024-05-17,107050111.58170855
2024-05-18,107050111.58170855
2024-05-19,107050111.58170855
2024-05-20,107050111.58170855
2024-05-21,107050111.58170855
2024-05-22,107050111.58170855
2024-05-23,105891041.61424409
2024-05-24,105891041.61424409
2024-05-25,105891041.61424409
2024-05-26,105891041.61424409
2024-05-27,105891041.61424409
2024-05-28,105891041.61424409
2024-05-29,105891041.61424409
2024-05-30,105891041.61424409
2024-05-31,105891041.61424409
2024-06-01,105891041.61424409
2024-06-02,105891041.61424409
2024-06-03,105891041.61424409
