market,date,trade_price,acc_trade_volume_24h,acc_trade_price_24h,opening_price,high_price,low_price
KRW-BTC,2022-08-11,31770000.0,9244.45685127,298863622797.97766,,,
KRW-ETH,2022-08-11,2497000.0,123980.30363001,310779497349.46936,,,
KRW-BTC,2022-08-12,32368000.0,8387.04392221,267506311075.9209,31770000.0,32450000.0,31590000.0
KRW-ETH,2022-08-12,2597000.0,65164.83866398,164749516106.4614,2495000.0,2604000.0,2472000.0
KRW-BTC,2022-08-13,32562000.0,4388.33032231,143160548469.4298,32368000.0,32957000.0,32260000.0
KRW-ETH,2022-08-13,2644000.0,71717.54285086,189182069281.75128,2598000.0,2676000.0,2583000.0
KRW-BTC,2022-08-14,32544000.0,6387.19826642,208971917597.303,32562000.0,33197000.0,32310000.0
KRW-ETH,2022-08-14,2594000.0,64628.39473699,170039279264.01144,2644000.0,2694000.0,2554000.0
KRW-ETH,2022-08-15,2561000.0,81769.50668028,211138547177.32095,2594000.0,2673000.0,2525000.0
KRW-BTC,2022-08-15,32445000.0,6914.8075927,226008853379.95538,32544000.0,33450000.0,32139000.0
KRW-ETH,2022-08-16,2524000.0,53258.02056165,134959650973.4285,2561000.0,2573000.0,2501000.0
KRW-BTC,2022-08-16,32082000.0,4179.74642172,134649200360.7835,32435000.0,32600000.0,31865000.0
KRW-ETH,2022-08-17,2482000.0,81404.27555476,205054852306.85724,2524000.0,2606000.0,2451000.0
KRW-BTC,2022-08-17,31547000.0,5812.24927668,185426079807.862,32082000.0,32600000.0,31334000.0
KRW-BTC,2022-08-18,31720000.0,2950.43773428,93394051416.17296,31547000.0,31779000.0,31484000.0
KRW-ETH,2022-08-18,2529000.0,44019.75852175,110446801783.21062,2482000.0,2543000.0,2469000.0
KRW-BTC,2022-08-19,28678000.0,11796.61947017,354714117159.2484,31720000.0,31739000.0,28612000.0
KRW-ETH,2022-08-19,2212000.0,154699.60806269,366921543710.0419,2529000.0,2531000.0,2205000.0
KRW-ETH,2022-08-20,2191000.0,90251.24350029,200765969776.57904,2210000.0,2287000.0,2110000.0
KRW-BTC,2022-08-20,29340000.0,5295.31161819,154372033844.43927,28678000.0,29429000.0,28616000.0
KRW-BTC,2022-08-21,29459000.0,3786.40688642,111313729260.53806,29350000.0,29760000.0,29016000.0
KRW-ETH,2022-08-21,2216000.0,63612.43451599,140412793221.41196,2190000.0,2251000.0,2149000.0
KRW-BTC,2022-08-22,29260000.0,4297.80375186,125494897056.34212,29458000.0,29554000.0,28857000.0
KRW-ETH,2022-08-22,2221000.0,78025.55255116,168963728285.40982,2216000.0,2224000.0,2112000.0
KRW-BTC,2022-08-23,29307000.0,3763.61382345,109821061058.27287,29261000.0,29528000.0,28701000.0
KRW-ETH,2022-08-23,2263000.0,75519.49567835,167195943708.38538,2221000.0,2277000.0,2142000.0
KRW-BTC,2022-08-24,29104000.0,3125.56012147,91431871249.1678,29287000.0,29695000.0,28950000.0
KRW-ETH,2022-08-24,2255000.0,60758.06197723,136637420449.11765,2262000.0,2300000.0,2202000.0
KRW-BTC,2022-08-25,29300000.0,3452.12199237,101201648467.01949,29103000.0,29500000.0,29036000.0
KRW-ETH,2022-08-25,2300000.0,48167.54069692,110754656991.51288,2255000.0,2335000.0,2251000.0
KRW-ETH,2022-08-26,2086000.0,134844.99961486,298576992851.59143,2302000.0,2315000.0,2060000.0
KRW-BTC,2022-08-26,27969000.0,7729.24670505,222906367027.81876,29299000.0,29655000.0,27790000.0
KRW-BTC,2022-08-27,27739000.0,3125.25646287,86963182786.77777,27954000.0,28150000.0,27510000.0
KRW-ETH,2022-08-27,2063000.0,65272.84085762,134647599812.40726,2086000.0,2102000.0,2010000.0
KRW-BTC,2022-08-28,27099000.0,2480.82358668,68413346182.69284,27739000.0,27878000.0,27090000.0
KRW-ETH,2022-08-28,1979500.0,42888.04738823,87467460530.23451,2063000.0,2090000.0,1975000.0
KRW-BTC,2022-08-29,27792000.0,3709.53491351,102229321499.59357,27098000.0,28066000.0,27094000.0
KRW-ETH,2022-08-29,2127000.0,74358.77669216,152315066121.40573,1978000.0,2138000.0,1970500.0
KRW-BTC,2022-08-30,27314000.0,4229.54737089,117154442399.73819,27792000.0,28150000.0,27155000.0
KRW-ETH,2022-08-30,2103000.0,94895.85651126,202500054228.69333,2126000.0,2203000.0,2047000.0
KRW-BTC,2022-08-31,27530000.0,3677.29907389,101805940867.42548,27314000.0,27957000.0,27286000.0
KRW-ETH,2022-08-31,2136000.0,89723.27581206,194103998395.4236,2101000.0,2209000.0,2100000.0
KRW-BTC,2022-09-01,27636000.0,3585.51130768,98555665886.7322,27521000.0,27773000.0,27100000.0
KRW-ETH,2022-09-01,2175000.0,76365.25878029,163585697814.19833,2136000.0,2193000.0,2098000.0
KRW-BTC,2022-09-02,27571000.0,3667.65760467,101532094745.71394,27636000.0,28000000.0,27312000.0
KRW-ETH,2022-09-02,2176000.0,97587.30500072,214881159136.77457,2176000.0,2260000.0,2145000.0
KRW-BTC,2022-09-03,27447000.0,1868.62894153,51373788619.60471,27562000.0,27704000.0,27286000.0
KRW-ETH,2022-09-03,2152000.0,37260.34287108,80366888160.73984,2176000.0,2189000.0,2131000.0
KRW-BTC,2022-09-04,27528000.0,1823.70402927,49935020084.01973,27440000.0,27590000.0,27200000.0
KRW-ETH,2022-09-04,2173000.0,28386.65885899,61221611093.1573,2153000.0,2184000.0,2135000.0
KRW-BTC,2022-09-05,27309000.0,3528.46820144,96597927685.97044,27529000.0,27599000.0,27223000.0
KRW-ETH,2022-09-05,2228000.0,61973.01936844,135750120540.85236,2174000.0,2247000.0,2153000.0
KRW-ETH,2022-09-06,2183000.0,121839.9062408,275595198519.5428,2226000.0,2321000.0,2178000.0
KRW-BTC,2022-09-06,26361000.0,8145.67658457,220653038140.5346,27309000.0,27690000.0,26203000.0
KRW-ETH,2022-09-07,2262000.0,91984.82916811,200250546316.33698,2183000.0,2295000.0,2103000.0
KRW-BTC,2022-09-07,26810000.0,5757.55932075,152753275129.61255,26361000.0,27064000.0,26198000.0
KRW-BTC,2022-09-08,26887000.0,4259.43244539,114299755054.95776,26811000.0,27042000.0,26601000.0
KRW-ETH,2022-09-08,2270000.0,58246.54243785,131921429028.16817,2262000.0,2300000.0,2225000.0
KRW-BTC,2022-09-09,29350000.0,9802.80413791,279964481183.08813,26887000.0,29616000.0,26864000.0
KRW-ETH,2022-09-09,2355000.0,68702.92218077,160632726375.16324,2271000.0,2376000.0,2267000.0
KRW-BTC,2022-09-10,29727000.0,5736.67505696,168836480144.08762,29344000.0,29900000.0,29001000.0
KRW-ETH,2022-09-10,2416000.0,41928.39890199,99457097650.84038,2353000.0,2430000.0,2335000.0
KRW-BTC,2022-09-11,30028000.0,3688.60048846,109635972850.14722,29727000.0,30030000.0,29527000.0
KRW-ETH,2022-09-11,2407000.0,38460.47103801,92397900399.16684,2414000.0,2431000.0,2373000.0
KRW-ETH,2022-09-12,2346000.0,60911.50652523,144742750403.25772,2407000.0,2427000.0,2320000.0
KRW-BTC,2022-09-12,30656000.0,7642.56603339,232343692738.235,30028000.0,30851000.0,29780000.0
KRW-BTC,2022-09-13,28371000.0,15229.11580906,451810008614.8326,30684000.0,31300000.0,28200000.0
KRW-ETH,2022-09-13,2184000.0,107648.9831191,242809340589.65463,2346000.0,2384000.0,2163000.0
KRW-ETH,2022-09-14,2291000.0,74307.19599593,165634499045.09576,2183000.0,2303000.0,2160000.0
KRW-BTC,2022-09-14,28344000.0,8716.78268528,247271041270.23514,28371000.0,28813000.0,27688000.0
KRW-ETH,2022-09-15,2128000.0,176152.22708184,392510831420.4816,2290000.0,2342000.0,2110000.0
KRW-BTC,2022-09-15,28024000.0,6939.77703727,195627680377.5866,28352000.0,28518000.0,27774000.0
KRW-BTC,2022-09-16,27915000.0,5350.8370115,149166663031.6244,28029000.0,28173000.0,27453000.0
KRW-ETH,2022-09-16,2025000.0,76559.08373101,157738582042.99066,2128000.0,2132000.0,2000000.0
KRW-ETH,2022-09-17,2058000.0,46838.07809105,95011724297.89688,2025000.0,2069000.0,1993500.0
KRW-BTC,2022-09-17,28174000.0,3240.10043653,90962723366.98038,27916000.0,28357000.0,27893000.0
KRW-BTC,2022-09-18,27490000.0,4018.15031347,111684122369.5478,28174000.0,28206000.0,27280000.0
KRW-ETH,2022-09-18,1891500.0,75313.04333253,147388499831.6635,2059000.0,2060000.0,1872000.0
KRW-BTC,2022-09-19,27566000.0,9719.59411004,261036423103.05676,27490000.0,27732000.0,26216000.0
KRW-ETH,2022-09-19,1940500.0,94088.49472047,177102460467.9704,1891500.0,1965000.0,1827500.0
KRW-BTC,2022-09-20,26757000.0,5253.12223798,142380132917.12753,27566000.0,27707000.0,26582000.0
KRW-ETH,2022-09-20,1876000.0,46218.56556958,88399184299.86623,1941000.0,1955000.0,1862000.0
KRW-BTC,2022-09-21,26538000.0,9250.11876736,249412571329.63596,26757000.0,27974000.0,26199000.0
KRW-ETH,2022-09-21,1792000.0,92873.63134318,173306735356.07474,1877000.0,1977000.0,1758000.0
KRW-BTC,2022-09-22,27572000.0,5953.98909369,161447348659.75824,26523000.0,27698000.0,26478000.0
KRW-ETH,2022-09-22,1884500.0,77566.50325844,142386934625.2645,1791000.0,1916500.0,1781500.0
KRW-ETH,2022-09-23,1899500.0,76845.60696966,144475066910.04434,1885000.0,1936000.0,1817500.0
KRW-BTC,2022-09-23,27594000.0,7237.64208747,197579982083.18936,27571000.0,27788000.0,26709000.0
KRW-BTC,2022-09-24,27270000.0,2902.69643769,79497771143.62138,27591000.0,27611000.0,27101000.0
KRW-ETH,2022-09-24,1898500.0,35926.22204513,68545656487.0577,1899000.0,1936500.0,1880000.0
KRW-BTC,2022-09-25,27051000.0,2488.11130047,67830234775.315,27270000.0,27499000.0,26910000.0
KRW-ETH,2022-09-25,1864000.0,31052.69584987,58503477533.69439,1899500.0,1917000.0,1835000.0
KRW-ETH,2022-09-26,1916000.0,47431.3927679,89517064193.76021,1862000.0,1920000.0,1848000.0
KRW-BTC,2022-09-26,27597000.0,4639.44616128,127050448051.4524,27051000.0,27749000.0,27000000.0
KRW-BTC,2022-09-27,27501000.0,11326.09517744,319136537626.8621,27604000.0,29112000.0,27130000.0
KRW-ETH,2022-09-27,1914000.0,73822.0026406,143903948620.72134,1916000.0,1995000.0,1880500.0
KRW-BTC,2022-09-28,27952000.0,7772.21243875,214191020039.02698,27495000.0,28421000.0,26800000.0
KRW-ETH,2022-09-28,1924000.0,64703.99805668,122115498229.62772,1915500.0,1948000.0,1830000.0
KRW-ETH,2022-09-29,1910500.0,51168.69648733,97785611983.19449,1923000.0,1948000.0,1864500.0
KRW-BTC,2022-09-29,28033000.0,6460.93157873,180040554490.9342,27952000.0,28246000.0,27290000.0
KRW-ETH,2022-09-30,1911000.0,43457.25421101,83458740837.1484,1910000.0,1964000.0,1892500.0
KRW-BTC,2022-09-30,27924000.0,6867.90245601,193003164789.35318,28020000.0,28841000.0,27580000.0
