id,chain_type,address,name_tag,balance,percentage,txn_count,created_at
BTC001,BTC,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,Bitcoin,"248,598 BTC",1.25%,5909,2025-12-15 08:19:39
BTC002,BTC,bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,Bitcoin,"140,575 BTC",0.70%,867,2025-12-15 08:19:39
BTC003,BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,Bitcoin,"130,010 BTC",0.65%,615,2025-12-15 08:19:39
BTC004,BTC,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,Bitcoin,"128,710 BTC",0.65%,717,2025-12-15 08:19:39
BTC005,BTC,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,Bitcoin,"94,643 BTC",0.47%,158,2025-12-15 08:19:39
BTC006,BTC,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,Bitcoin,"86,335 BTC",0.43%,288,2025-12-15 08:19:39
BTC007,BTC,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,Bitcoin,"86,200 BTC",0.43%,293,2025-12-15 08:19:39
BTC008,BTC,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,Bitcoin,"79,957 BTC",0.40%,660,2025-12-15 08:19:39
BTC009,BTC,bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,Bitcoin,"78,317 BTC",0.39%,51,2025-12-15 08:19:39
BTC010,BTC,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,Bitcoin,"69,370 BTC",0.35%,133,2025-12-15 08:19:39
BTC011,BTC,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,Bitcoin,"68,200 BTC",0.34%,188,2025-12-15 08:19:39
BTC012,BTC,1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,Bitcoin,"58,104 BTC",0.29%,2347,2025-12-15 08:19:39
BTC013,BTC,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,Bitcoin,"53,880 BTC",0.27%,224,2025-12-15 08:19:39
BTC014,BTC,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,Bitcoin,"51,830 BTC",0.26%,152,2025-12-15 08:19:39
BTC015,BTC,3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,Bitcoin,"50,145 BTC",0.25%,979,2025-12-15 08:19:39
BTC016,BTC,bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,Bitcoin,"44,194 BTC",0.22%,83,2025-12-15 08:19:39
BTC017,BTC,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,Bitcoin,"44,000 BTC",0.22%,87,2025-12-15 08:19:39
