date,coin_symbol,net_inflow_usd,exchange_inflow_usd,active_addresses,transaction_count,avg_buy_price
2021-12-27,ETH,0.0,0.0,21,0,
2022-01-03,ETH,0.0,0.0,16,0,
2022-01-10,ETH,0.0,0.0,13,0,
2022-01-17,ETH,0.0,0.0,18,0,
2022-01-24,ETH,0.0,0.0,14,0,
2022-01-31,ETH,0.0,0.0,12,0,
2022-02-07,ETH,0.0,0.0,10,0,
2022-02-14,ETH,0.0,0.0,10,0,
2022-02-21,ETH,0.0,0.0,13,1,
2022-02-28,ETH,0.0,0.0,13,0,
2022-03-07,ETH,0.0,0.0,15,0,
2022-03-14,ETH,0.0,0.0,11,0,
2022-03-21,ETH,0.0,0.0,12,0,
2022-03-28,ETH,0.0,0.0,22,0,
2022-04-04,ETH,0.0,0.0,12,0,
2022-04-11,ETH,0.0,0.0,11,0,
2022-04-18,ETH,0.0,0.0,11,0,
2022-04-25,ETH,0.0,0.0,15,0,
2022-05-02,ETH,0.0,0.0,9,0,
2022-05-09,ETH,0.0,0.0,26,0,
2022-05-16,ETH,0.0,0.0,16,0,
2022-05-23,ETH,0.0,0.0,17,0,
2022-05-30,ETH,0.0,0.0,13,0,
2022-06-06,ETH,0.0,0.0,23,0,
2022-06-13,ETH,0.0,0.0,20,0,
2022-06-20,ETH,0.0,0.0,17,0,
2022-06-27,ETH,0.0,0.0,28,0,
2022-07-04,ETH,0.0,0.0,17,0,
2022-07-11,ETH,0.0,0.0,16,0,
2022-07-18,ETH,0.0,0.0,14,0,
2022-07-25,ETH,0.0,0.0,14,0,
2022-08-01,ETH,0.0,0.0,11,0,
2022-08-08,ETH,0.0,0.0,13,0,
2022-08-15,ETH,0.0,0.0,13,0,
2022-08-22,ETH,0.0,0.0,15,0,
2022-08-29,ETH,0.0,0.0,13,0,
2022-09-05,ETH,0.0,0.0,20,0,
2022-09-12,ETH,0.0,0.0,11,0,
2022-09-19,ETH,0.0,0.0,15,0,
2022-09-26,ETH,0.0,0.0,12,0,
2022-10-03,ETH,0.0,0.0,8,0,
2022-10-10,ETH,0.0,0.0,8,0,
2022-10-17,ETH,0.0,0.0,11,0,
2022-10-24,ETH,0.0,0.0,16,0,
2022-10-31,ETH,0.0,0.0,15,0,
2022-11-07,ETH,0.0,0.0,41,1,
2022-11-14,ETH,0.0,0.0,29,1,
2022-11-21,ETH,0.0,0.0,20,0,
2022-11-28,ETH,0.0,0.0,28,0,
2022-12-05,ETH,0.0,0.0,18,0,
2022-12-12,ETH,0.0,0.0,33,0,
2022-12-19,ETH,0.0,0.0,19,0,
2022-12-26,ETH,0.0,0.0,16,0,
2023-01-02,ETH,0.0,0.0,16,0,
2023-01-09,ETH,0.0,0.0,18,0,
2023-01-16,ETH,0.0,0.0,18,0,
2023-01-23,ETH,0.0,0.0,21,0,
2023-01-30,ETH,0.0,0.0,27,0,
2023-02-06,ETH,0.0,0.0,25,0,
2023-02-13,ETH,0.0,0.0,21,0,
2023-02-20,ETH,0.0,0.0,26,0,
2023-02-27,ETH,0.0,0.0,27,0,
2023-03-06,ETH,0.0,0.0,27,0,
2023-03-13,ETH,0.0,0.0,21,0,
2023-03-20,ETH,0.0,0.0,29,0,
2023-03-27,ETH,0.0,0.0,19,0,
2023-04-03,ETH,0.0,0.0,18,0,
